time	I(I1)
1.041610049881515e-03	2.500000e-01
1.057235049881515e-03	2.500000e-01
1.072860049881515e-03	2.500000e-01
1.088485049881515e-03	2.500000e-01
1.096297549881515e-03	2.500000e-01
1.104110049881515e-03	2.500000e-01
1.111922549881515e-03	2.500000e-01
1.119735049881515e-03	2.500000e-01
1.127547549881515e-03	2.500000e-01
1.135360049881515e-03	2.500000e-01
1.142616703466949e-03	2.500000e-01
1.149454465623372e-03	2.500000e-01
1.156064535485371e-03	2.500000e-01
1.162513647467913e-03	2.500000e-01
1.169830595667630e-03	2.500000e-01
1.177643095667630e-03	2.500000e-01
1.185455595667630e-03	2.500000e-01
1.193268095667630e-03	2.500000e-01
1.201080595667630e-03	2.500000e-01
1.208893095667630e-03	2.500000e-01
1.216705595667630e-03	2.500000e-01
1.224518095667630e-03	2.500000e-01
1.232330595667630e-03	2.500000e-01
1.240143095667630e-03	2.500000e-01
1.247955595667630e-03	2.500000e-01
1.255768095667630e-03	2.500000e-01
1.263580595667630e-03	2.500000e-01
1.271393095667631e-03	2.500000e-01
1.279205595667631e-03	2.500000e-01
1.287018095667631e-03	2.500000e-01
1.294830595667631e-03	2.500000e-01
1.302643095667631e-03	2.500000e-01
1.310455595667631e-03	2.500000e-01
1.318268095667631e-03	2.500000e-01
1.326080595667631e-03	2.500000e-01
1.333893095667631e-03	2.500000e-01
1.341705595667631e-03	2.500000e-01
1.349518095667631e-03	2.500000e-01
1.357330595667631e-03	2.500000e-01
1.365143095667631e-03	2.500000e-01
1.372955595667631e-03	2.500000e-01
1.380768095667631e-03	2.500000e-01
1.388580595667631e-03	2.500000e-01
1.396393095667631e-03	2.500000e-01
1.404205595667631e-03	2.500000e-01
1.412018095667631e-03	2.500000e-01
1.419830595667631e-03	2.500000e-01
1.427643095667631e-03	2.500000e-01
1.435455595667631e-03	2.500000e-01
1.443268095667631e-03	2.500000e-01
1.451080595667631e-03	2.500000e-01
1.458893095667631e-03	2.500000e-01
1.466705595667631e-03	2.500000e-01
1.474518095667631e-03	2.500000e-01
1.482330595667631e-03	2.500000e-01
1.490143095667631e-03	2.500000e-01
1.497955595667631e-03	2.500000e-01
1.505768095667631e-03	2.500000e-01
1.513580595667631e-03	2.500000e-01
1.521393095667631e-03	2.500000e-01
1.529205595667631e-03	2.500000e-01
1.537018095667631e-03	2.500000e-01
1.544830595667631e-03	2.500000e-01
1.552643095667631e-03	2.500000e-01
1.560455595667631e-03	2.500000e-01
1.568268095667631e-03	2.500000e-01
1.576080595667631e-03	2.500000e-01
1.583893095667631e-03	2.500000e-01
1.591705595667631e-03	2.500000e-01
1.599518095667631e-03	2.500000e-01
1.607330595667631e-03	2.500000e-01
1.615143095667631e-03	2.500000e-01
1.622955595667631e-03	2.500000e-01
1.630768095667631e-03	2.500000e-01
1.638580595667631e-03	2.500000e-01
1.646393095667631e-03	2.500000e-01
1.654205595667631e-03	2.500000e-01
1.662018095667631e-03	2.500000e-01
1.669830595667631e-03	2.500000e-01
1.677643095667631e-03	2.500000e-01
1.685455595667631e-03	2.500000e-01
1.693268095667631e-03	2.500000e-01
1.701080595667631e-03	2.500000e-01
1.708893095667631e-03	2.500000e-01
1.716705595667631e-03	2.500000e-01
1.724518095667631e-03	2.500000e-01
1.732330595667631e-03	2.500000e-01
1.740143095667631e-03	2.500000e-01
1.747955595667631e-03	2.500000e-01
1.755768095667631e-03	2.500000e-01
1.763580595667631e-03	2.500000e-01
1.771393095667631e-03	2.500000e-01
1.779205595667631e-03	2.500000e-01
1.787018095667631e-03	2.500000e-01
1.794830595667631e-03	2.500000e-01
1.802643095667631e-03	2.500000e-01
