time	I(I1)
5.187095142029713e-04	9.771630e-02
5.187105645342441e-04	9.771742e-02
5.187167611562631e-04	9.772452e-02
5.189515112328817e-04	9.798315e-02
5.197237511104154e-04	9.869652e-02
5.200468785425143e-04	9.893761e-02
5.200714533818092e-04	9.895465e-02
5.200749031333243e-04	9.895700e-02
5.200757272608125e-04	9.895696e-02
5.200767937853681e-04	9.895802e-02
5.200771361148448e-04	9.896389e-02
5.200773440895477e-04	9.895711e-02
5.200778446361282e-04	9.895835e-02
5.200782013861905e-04	9.896235e-02
5.200785408393450e-04	9.895805e-02
5.200786543683983e-04	9.895793e-02
5.200792894814677e-04	9.896135e-02
5.200796227831725e-04	9.895944e-02
5.200799093638062e-04	9.896000e-02
5.200802435617539e-04	9.896076e-02
5.200806105764617e-04	9.896034e-02
5.200810648452802e-04	9.896208e-02
5.200815723494348e-04	9.896127e-02
5.200821836158189e-04	9.896233e-02
5.200835571421412e-04	9.896310e-02
5.200860648458201e-04	9.896468e-02
5.201254930196690e-04	9.899148e-02
5.201784313635194e-04	9.902672e-02
5.201992877197318e-04	9.904044e-02
5.202000987723938e-04	9.904095e-02
5.202024106850067e-04	9.904242e-02
5.202615171224354e-04	9.908041e-02
5.213694499659877e-04	9.962372e-02
5.215604102533516e-04	9.968862e-02
5.215636648704158e-04	9.968966e-02
5.215667640114752e-04	9.969247e-02
5.215670454796090e-04	9.969129e-02
5.215672172072694e-04	9.968970e-02
5.215676031852988e-04	9.969077e-02
5.215679232632908e-04	9.969226e-02
5.215682192218150e-04	9.968999e-02
5.215686894409923e-04	9.969174e-02
5.215689889369198e-04	9.969194e-02
5.215694475451875e-04	9.969154e-02
5.215696975190365e-04	9.969165e-02
5.215709319606408e-04	9.969204e-02
5.215727515509921e-04	9.969256e-02
5.215774405586509e-04	9.969404e-02
5.216281043876087e-04	9.970982e-02
5.216807026606396e-04	9.972566e-02
5.216845218959183e-04	9.972680e-02
5.216966377593967e-04	9.973036e-02
5.227972363616728e-04	9.994745e-02
5.230528508023079e-04	9.997195e-02
5.230571812740202e-04	9.997229e-02
5.230574256821584e-04	9.997339e-02
5.230577654532634e-04	9.997190e-02
5.230578204269448e-04	9.997198e-02
5.230583395109518e-04	9.997261e-02
5.230587698364050e-04	9.997236e-02
5.230594066188486e-04	9.997260e-02
5.230595088900090e-04	9.997268e-02
5.230599813398102e-04	9.997238e-02
5.230602054803658e-04	9.997241e-02
5.230605214613762e-04	9.997257e-02
5.230610990929620e-04	9.997257e-02
5.230620370217951e-04	9.997265e-02
5.230636954127075e-04	9.997279e-02
5.230664338427186e-04	9.997302e-02
5.231083883620053e-04	9.997617e-02
5.231611941999881e-04	9.997985e-02
5.231719444429593e-04	9.998056e-02
5.231725282031272e-04	9.998058e-02
5.231733498416658e-04	9.998064e-02
